NIT_EMISOR,NRC_EMISOR,ANIO,MES,TIPO_DOC,NUM_DOC,FECHA_EMISION,NOMBRE_CLIENTE,DUI_CLIENTE,VENTAS_EXENTAS,VENTAS_NO_SUJETAS,VENTAS_GRAVADAS,DEBITO_FISCAL,TOTAL_VENTA,NUM_ANULACION,TIPO_ANULACION,SECTOR_ECONOMICO,CLASIFICACION_PRODUCTO,FORMA_PAGO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001401,10/07/2024,PEDRO PABLO SANTOS ESTRADA,17324144-3,0,0,342.67,44.55,387.22,,,COMERCIO,MIXTO,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001402,12/07/2024,ROBERTO ALFREDO MENDEZ ORELLANA,27714442-6,0,0,1707.3,221.95,1929.25,,,SERVICIOS,SERVICIOS,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001403,01/07/2024,NELSON ALBERTO MIRANDA MONGE,19064068-0,0,0,124.28,16.16,140.44,,,AGRICULTURA,MIXTO,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001404,21/07/2024,JORGE ARTURO ARGUETA LINARES,77249653-6,0,0,1209.82,157.28,1367.1,,,SERVICIOS,SERVICIOS,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001405,10/07/2024,JOSE ANTONIO HERNANDEZ PEREZ,78626154-3,0,0,470.35,61.15,531.5,,,COMERCIO,SERVICIOS,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001406,24/07/2024,PATRICIA BEATRIZ CASTRO LUNA,17772004-3,130.35,0,1362.85,177.17,1670.37,,,INDUSTRIA,MIXTO,TARJETA_CREDITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001407,04/07/2024,JUAN CARLOS MARTINEZ LOPEZ,28416255-0,0,0,2859.28,371.71,3230.99,,,INDUSTRIA,BIENES,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001408,05/07/2024,DIANA CAROLINA FLORES BONILLA,46072958-1,0,0,92.92,12.08,105.0,,,INDUSTRIA,MIXTO,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001409,09/07/2024,JORGE ARTURO ARGUETA LINARES,87396877-1,0,0,1534.79,199.52,1734.31,,,SERVICIOS,SERVICIOS,TARJETA_CREDITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001410,09/07/2024,HENRY MAURICIO COREAS MONTOYA,23811663-9,0,0,350.42,45.55,395.97,,,COMERCIO,BIENES,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001411,08/07/2024,MARIA ELENA RODRIGUEZ GARCIA,73319171-5,0,0,454.5,59.09,513.59,,,COMERCIO,MIXTO,TRANSFERENCIA
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001412,08/07/2024,ROBERTO ALFREDO MENDEZ ORELLANA,43321320-6,0,0,963.21,125.22,1088.43,,,INDUSTRIA,BIENES,CHEQUE
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001413,22/07/2024,MARIA ELENA RODRIGUEZ GARCIA,34071191-3,0,0,2944.33,382.76,3327.09,,,COMERCIO,SERVICIOS,TARJETA_DEBITO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001414,25/07/2024,CLAUDIA MICHELLE DIAZ PORTILLO,53929586-1,0,0,28.87,3.75,32.62,,,INDUSTRIA,MIXTO,CHEQUE
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001415,08/07/2024,OSCAR ANTONIO VENTURA CONTRERAS,59428849-9,0,0,2993.37,389.14,3382.51,,,SERVICIOS,BIENES,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001416,30/07/2024,DIANA ELIZABETH QUINTANILLA BLANCO,13209180-3,0,0,1909.65,248.25,2157.9,,,COMERCIO,SERVICIOS,EFECTIVO
0614-050101-001-0,123456-7,2024,07,03,FAC-CF-0000001417,25/07/2024,GLORIA MARINA RAMOS SIGUENZA,60502752-4,0,0,1591.79,206.93,1798.72,,,AGRICULTURA,BIENES,TARJETA_CREDITO
